#Name,Brand,color,Link,wish,review
Nike x Travis Scott Air Max 1 Cact.us Brown,Nike,"{'name': 'Sorrell Brown', 'RGB': (206, 185, 143)}",https://kream.co.kr/products/44512 ,9365,677
Nike x Sacai VaporWaffle White and Gum,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/40775 ,10000,374
Adidas Yeezy Boost 350 V2 Blue Tint,Adidas,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/12491 ,11000,471
(W) Maison Margiela Calfskin Replica Sneakers White,Maison Margiela,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/24912 ,3855,116
Adidas Yeezy Boost 350 V2 Black Red 2020,Adidas,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/26699 ,8351,754
(W) Balenciaga Speed Trainer Black White 2021/2022,Balenciaga,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/28282 ,1942,87
New Balance x Paperboy Paris x Beams 920 Made in UK Ice Boy,New Balance,"{'name': 'Cascade', 'RGB': (139, 169, 165)}",https://kream.co.kr/products/69175 ,313,12
(W) Adidas Sambarose White Black Gum,Adidas,"{'name': 'Dark Blue Grey', 'RGB': (31, 59, 77)}",https://kream.co.kr/products/15269 ,2322,10
New Balance 2002R Special Vintage Black,New Balance,"{'name': 'Dark Blue Grey', 'RGB': (31, 59, 77)}",https://kream.co.kr/products/56772 ,7207,59
Jordan 1 Mid College Grey,Jordan,"{'name': 'Sorrell Brown', 'RGB': (206, 185, 143)}",https://kream.co.kr/products/40833 ,17000,522
(W) Nike Daybreak Summit White,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/23892 ,20000,223
Jordan 1 Low Golf Triple White,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/48706 ,8291,229
(GS) Nike Air Force 1 LV8 Athletic Club Light Smoke Grey Marina,Nike,"{'name': 'Cascade', 'RGB': (139, 169, 165)}",https://kream.co.kr/products/50689 ,21000,165
(W) Jordan 1 Retro Low OG Black and Dark Powder Blue,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/70577 ,10000,322
Asics Gel-Sonoma 15-50 French Blue,Asics,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/57456 ,6100,52
Jordan 1 x A Ma Maniere Retro High OG SP Sail and Burgundy,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/45223 ,7437,404
Salomon XT-6 Expanse Alloy Quiet Shade,Salomon,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/73759 ,5870,56
Adidas Triest Cream White,Adidas,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/80201 ,1978,15
Adidas Samba ADV Black,Adidas,"{'name': 'Woody Brown', 'RGB': (72, 49, 49)}",https://kream.co.kr/products/55955 ,13000,45
Jordan 3 Retro Fire Red 2022,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/71397 ,2341,88
(W) Nike Dunk Low SE 85 Neptune Green and Sail,Nike,"{'name': 'Tropical Rain Forest', 'RGB': (0, 117, 94)}",https://kream.co.kr/products/72293 ,2896,63
(W) Jordan 1 Low White Gym Red,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/77659 ,3948,53
Nike x Kasina Air Max 1 SP Won-Ang Particle Grey,Nike,"{'name': 'Almond Frost', 'RGB': (144, 123, 113)}",https://kream.co.kr/products/62447 ,9253,703
Jordan Luka 1 PF Neo Turquoise,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/75054 ,572,9
Adidas Yeezy Boost 350 V2 Sesame 2022,Adidas,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/72615 ,1107,39
Jordan 1 Retro High OG Hyper Royal,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/32744 ,20000,2024
(W) Alexander McQueen Oversized Sneakers White Black,Alexander McQueen,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/29433 ,1600,73
(W) Jordan 1 Retro High OG Lucky Green,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/25833 ,23000,1622
Nike x Sacai x Undercover LDWaffle Midnight Spruce University Red,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/43767 ,5054,377
New Balance 990v1 Made in USA Black,New Balance,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/63060 ,3687,48
Adidas Yeezy Boost 350 V2 Core Black Red 2022,Adidas,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/72528 ,2920,94
Hermes Bouncing Sneakers Calfskin Suede Goatskin & Blanc,Hermes,"{'name': 'Cascade', 'RGB': (139, 169, 165)}",https://kream.co.kr/products/63904 ,555,7
Maison Mihara Yasuhiro Wayne OG Sole Leather Low-top Sneakers Black White,Mihara Yasuhiro,"{'name': 'Dawn Pink', 'RGB': (243, 233, 229)}",https://kream.co.kr/products/47037 ,1393,40
Golden Goose Superstar White Black Heel Tab Sneakers,Golden Goose,"{'name': 'Dawn Pink', 'RGB': (243, 233, 229)}",https://kream.co.kr/products/30239 ,1204,36
Adidas Yeezy 500 Granite,Adidas,"{'name': 'Almond Frost', 'RGB': (144, 123, 113)}",https://kream.co.kr/products/60499 ,722,22
(W) Jordan 1 Low SE Light Olive,Jordan,"{'name': 'Woody Brown', 'RGB': (72, 49, 49)}",https://kream.co.kr/products/73941 ,9242,74
Nike Dunk Low Retro Khaki Hazel Rush,Nike,"{'name': 'Almond Frost', 'RGB': (144, 123, 113)}",https://kream.co.kr/products/66859 ,4243,80
Autry Medalist Low Leather Sneakers White Black,Autry,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/48209 ,1499,29
Adidas Gazelle Core Black White,Adidas,"{'name': 'Woody Brown', 'RGB': (72, 49, 49)}",https://kream.co.kr/products/55157 ,3137,18
Nike x NBA Dunk Low Retro EMB Black and Chile Red,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/42390 ,25000,1056
Jordan 1 Retro High OG Heritage,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/52130 ,14000,939
Adidas Gazelle Indoor Core Black,Adidas,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/73770 ,2355,12
(W) Nike Classic Cortez Leather White Black,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/13111 ,5119,19
Nike x Off-White Air Force 1 Mid SP White,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/65933 ,3568,167
(W) Nike Dunk Low Venice,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/47877 ,28000,243
(W) Jordan 1 Elevate Low Coconut Milk,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/79184 ,1285,9
New Balance 990v3 Made in USA Navy Spring Tide,New Balance,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/74554 ,1032,25
Jordan 1 Retro High OG Dark Marina Blue,Jordan,"{'name': 'Chathams Blue', 'RGB': (23, 85, 121)}",https://kream.co.kr/products/49365 ,16000,1397
Common Projects Original Achilles Low White,Common Projects,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/24859 ,2566,129
(W) Nike Dunk Low Disrupt 2 White Light Bone,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/56311 ,10000,62
Adidas Yeezy Boost 350 V2 Salt Core Black,Adidas,"{'name': 'Cascade', 'RGB': (139, 169, 165)}",https://kream.co.kr/products/81731 ,671,22
(GS) Nike Air Force 1 LV8 Athletic Club Black Dark Sulfur,Nike,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/49605 ,12000,113
Nike Dunk Low Wolf Grey and Pure Platinum,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/70212 ,4019,73
Nike Air Force 1 '07 LV8 Midnight Navy,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/78768 ,2530,10
Asics x Andersson Bell Gel-Sonoma 15-50 Olive Oil Dark Brown,Asics,"{'name': 'Woody Brown', 'RGB': (72, 49, 49)}",https://kream.co.kr/products/82463 ,374,22
Salomon Speedverse PRG Black Nimbus Cloud Alloy,Salomon,"{'name': 'Cascade', 'RGB': (139, 169, 165)}",https://kream.co.kr/products/77262 ,2338,13
Adidas x Andre Saraiva Superstar Cream White Core Black,Adidas,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/71521 ,4561,31
New Balance 327 Grey,New Balance,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/24130 ,14000,874
Nike x Stussy Air Force 1 '07 Mid SP Fossil,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/60296 ,11000,341
New Balance 2002R Marblehead White,New Balance,"{'name': 'Almond Frost', 'RGB': (144, 123, 113)}",https://kream.co.kr/products/78682 ,859,13
Nike LeBron XX EP Bred,Nike,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/80102 ,252,8
Jordan 1 Low Cardinal Red,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/56322 ,6741,75
New Balance 990v3 Made in USA Navy 2021 - D Standard,New Balance,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/43210 ,1829,19
Jordan 1 Mid Black Fire Red,Jordan,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/65807 ,3730,31
Jordan 1 High 85 College Navy,Jordan,"{'name': 'Dark Blue Grey', 'RGB': (31, 59, 77)}",https://kream.co.kr/products/51017 ,17000,280
Nike ACG Mountain Fly Low SE White and Black,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/68771 ,3994,80
Asics x Andersson Bell Gel-Sonoma 15-50 Bright Rose Evergreen,Asics,"{'name': 'Woody Brown', 'RGB': (72, 49, 49)}",https://kream.co.kr/products/82464 ,355,11
New Balance 991 Made in UK Grey,New Balance,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/16361 ,3007,148
Adidas Adimatic Core Black,Adidas,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/55728 ,8578,90
Nike Air Force 1 '07 LV8 Low 1 Triple Red,Nike,"{'name': 'Dull Red', 'RGB': (187, 63, 63)}",https://kream.co.kr/products/25688 ,8461,207
Nike LeBron XX EP Barely Green,Nike,"{'name': 'Cascade', 'RGB': (139, 169, 165)}",https://kream.co.kr/products/79083 ,415,21
Adidas Yeezy Boost 700 V2 Static 2022,Adidas,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/53201 ,6848,330
Jordan 6 x Travis Scott Retro SP British Khaki,Jordan,"{'name': 'Almond Frost', 'RGB': (144, 123, 113)}",https://kream.co.kr/products/33880 ,6491,1165
Nike x Off-White Dunk Low The 50 - Lot 46,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/39170 ,10000,1490
Asics x JJJJound Gel-Kayano 14 Silver White,Asics,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/72480 ,3737,48
(W) Nike Dunk Low Vintage Green,Nike,"{'name': 'Dark Blue Grey', 'RGB': (31, 59, 77)}",https://kream.co.kr/products/48968 ,23000,334
Alexander McQueen Oversized Sneakers White Black,Alexander McQueen,"{'name': 'Dawn Pink', 'RGB': (243, 233, 229)}",https://kream.co.kr/products/29438 ,2602,301
Asics x JJJJound Gel-Kayano 14 Silver Black,Asics,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/72909 ,4069,55
Jordan 1 Retro High OG Light Smoke Grey,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/23974 ,14000,1356
Nike Air Force 1 '07 QS Valentine's Day,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/29189 ,13000,789
New Balance 991 Made in UK Navy,New Balance,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/16362 ,3159,98
Maison Mihara Yasuhiro Peterson OG Sole Canvas Low-top Sneakers Natural,Mihara Yasuhiro,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/25710 ,1786,82
New Balance 992 Made in USA Navy,New Balance,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/26011 ,7908,354
Nike x Travis Scott SB Dunk Low,Nike,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/23498 ,6132,1823
Salomon ACS Pro ADV Vanilla Lunar Rock,Salomon,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/52603 ,1232,20
New Balance 993 Made in USA Grey - 2E Wide,New Balance,"{'name': 'Almond Frost', 'RGB': (144, 123, 113)}",https://kream.co.kr/products/26666 ,4478,151
Maison Mihara Yasuhiro Hank OG Sole Canvas Low-top Sneakers White,Mihara Yasuhiro,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/25728 ,569,21
Adidas x Wales Bonner Country Core Black,Adidas,"{'name': 'Woody Brown', 'RGB': (72, 49, 49)}",https://kream.co.kr/products/64564 ,1258,8
Maison Mihara Yasuhiro Blakey OG Sole Leather Low-top Sneakers White,Mihara Yasuhiro,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/29378 ,1447,123
Our Legacy Camion Boot Black,Our Legacy,"{'name': 'Woody Brown', 'RGB': (72, 49, 49)}",https://kream.co.kr/products/72864 ,426,7
Salomon x GR10K Quest Black Desert Palm,Salomon,"{'name': 'Woody Brown', 'RGB': (72, 49, 49)}",https://kream.co.kr/products/78944 ,136,2
Hermes Bouncing Sneakers Canvas Suede Goatskin & Blanc Orange,Hermes,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/55734 ,502,5
Nike x Supreme Shox Ride 2 SP Neutral Olive,Nike,"{'name': 'Almond Frost', 'RGB': (144, 123, 113)}",https://kream.co.kr/products/67190 ,1528,65
Adidas Superstar Premium Black White,Adidas,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/28115 ,15000,260
(W) Jordan 1 Retro High OG Denim,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/66107 ,6081,57
Adidas x Song for the Mute Shadowturf Midnight,Adidas,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/79067 ,327,7
(W) Nike Air More Uptempo Summit White,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/42945 ,1036,47
Jordan 1 Low White Gym Red Black,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/56314 ,11000,162
Asics Gel-Venture 6 SPS Glacier Grey,Asics,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/17018 ,8521,86
(GS) Jordan 1 Low Taxi,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/68804 ,2553,27
Adidas Gazelle Solid Grey,Adidas,"{'name': 'Dark Blue Grey', 'RGB': (31, 59, 77)}",https://kream.co.kr/products/77703 ,2221,2
(GS) Jordan 1 Retro High OG Bordeaux,Jordan,"{'name': 'Woody Brown', 'RGB': (72, 49, 49)}",https://kream.co.kr/products/44918 ,8894,411
New Balance 530 Vintage Metallic Silver,New Balance,"{'name': 'Cascade', 'RGB': (139, 169, 165)}",https://kream.co.kr/products/73058 ,2824,34
(GS) Nike Air Force 1 LV8 3 Wheat 2019,Nike,"{'name': 'Almond Frost', 'RGB': (144, 123, 113)}",https://kream.co.kr/products/22264 ,4400,52
Autry Medalist Low Leather Sneakers Black White,Autry,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/48219 ,1468,43
Adidas Superstar 82 Black White,Adidas,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/48974 ,15000,142
(W) Nike Air Force 1 Low '07 LX Chrome Luxe,Nike,"{'name': 'Dawn Pink', 'RGB': (243, 233, 229)}",https://kream.co.kr/products/25931 ,2991,18
(W) Nike Dunk Low Harvest Moon,Nike,"{'name': 'Oriental Pink', 'RGB': (198, 145, 145)}",https://kream.co.kr/products/47867 ,12000,210
Jordan 3 Retro Cardinal Red,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/51417 ,1793,137
New Balance 574 Legacy Burgundy,New Balance,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/74132 ,890,4
(GS) Jordan 1 Mid Light Smoke Grey Anthracite,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/57793 ,9130,61
Nike Air Force 1 Low Retro Color of the Month Varsity Royal,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/72394 ,8562,74
Jordan 1 Low Cherrywood Red,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/81998 ,1851,21
New Balance 990v5 Made in USA Grey - D Standard,New Balance,"{'name': 'Cascade', 'RGB': (139, 169, 165)}",https://kream.co.kr/products/19204 ,2714,138
(W) Jordan 1 Mid SE Light Mulberry,Jordan,"{'name': 'Almond Frost', 'RGB': (144, 123, 113)}",https://kream.co.kr/products/49769 ,26000,359
(W) New Balance 327 Beige Gum,New Balance,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/26646 ,4534,61
(W) Nike Dunk Low SE Sun Club Burnt Sunrise,Nike,"{'name': 'Rope', 'RGB': (142, 77, 30)}",https://kream.co.kr/products/59516 ,4669,69
Jordan 1 Low Golf White and University Blue,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/52779 ,13000,312
New Balance 996 Grey,New Balance,"{'name': 'Cascade', 'RGB': (139, 169, 165)}",https://kream.co.kr/products/31769 ,7002,71
New Balance 2002R Special Vintage Khaki,New Balance,"{'name': 'Dark Blue Grey', 'RGB': (31, 59, 77)}",https://kream.co.kr/products/57018 ,4351,45
Jordan 1 Mid SE French Blue Fire Red,Jordan,"{'name': 'Almond Frost', 'RGB': (144, 123, 113)}",https://kream.co.kr/products/71784 ,2987,69
Nike Dunk Low Retro Summit White,Nike,"{'name': 'Cascade', 'RGB': (139, 169, 165)}",https://kream.co.kr/products/65804 ,15000,93
(GS) Jordan 1 Mid SE Pine Green Light Smoke Grey,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/44692 ,9699,73
Jordan 1 Low Golf Sport Royal,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/76171 ,3736,116
(W) Jordan 1 Low SE Black White,Jordan,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/67462 ,2513,21
Nike x Stussy Air Max 2013 Black,Nike,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/72410 ,1598,68
Nike x Union Cortez SP Sesame,Nike,"{'name': 'Almond Frost', 'RGB': (144, 123, 113)}",https://kream.co.kr/products/65868 ,4694,156
New Balance 725 Grey,New Balance,"{'name': 'Cascade', 'RGB': (139, 169, 165)}",https://kream.co.kr/products/45883 ,2819,26
(GS) Jordan 1 Low SE Ashen Slate and Mystic Navy,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/63205 ,10000,36
Jordan 1 Low Light Smoke Grey Black,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/60765 ,9443,101
Asics x Andersson Bell HN2-S Protoblast Black,Asics,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/63166 ,4748,92
(W) Jordan 1 Low White Grey Blue,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/67855 ,10000,60
Nike Dunk Low Retro PRM Vast Grey,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/45817 ,15000,285
Jordan 1 Low Golf Copa,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/71072 ,4302,79
(W) New Balance 991 Made in UK Navy,New Balance,"{'name': 'Woody Brown', 'RGB': (72, 49, 49)}",https://kream.co.kr/products/28749 ,547,7
Nike Air Force 1 '07 White Black,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/28180 ,19000,289
(W) Jordan 1 Elevate High Dark Ash,Jordan,"{'name': 'Sorrell Brown', 'RGB': (206, 185, 143)}",https://kream.co.kr/products/80796 ,394,9
Asics x Andersson Bell HN2-S Protoblast Smoke Grey,Asics,"{'name': 'Woody Brown', 'RGB': (72, 49, 49)}",https://kream.co.kr/products/63165 ,4396,71
New Balance 327 Shifted White Pack,New Balance,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/58655 ,3977,32
(GS) Nike Court Borough Low 2 Light Smoke Grey,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/48473 ,18000,214
Nike x Union Dunk Low Passport Pack Argon,Nike,"{'name': 'Cascade', 'RGB': (139, 169, 165)}",https://kream.co.kr/products/55825 ,7433,459
(W) Nike Dunk Low Next Nature Phantom,Nike,"{'name': 'Tiger Orange', 'RGB': (200, 129, 65)}",https://kream.co.kr/products/68967 ,3961,41
Adidas Samba Brown,Adidas,"{'name': 'Woody Brown', 'RGB': (72, 49, 49)}",https://kream.co.kr/products/73707 ,4124,20
New Balance 327 Timberwolf,New Balance,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/38727 ,7892,62
Nike x Off-White Air Force 1 Mid SP Black,Nike,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/65934 ,2549,144
Jordan 1 Low Taxi,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/67723 ,6102,65
Adidas Yeezy Boost 700 Wave Runner Solid Grey 2021/2022,Adidas,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/54830 ,4579,284
Jordan 4 Retro SE Black and Light Steel,Jordan,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/74396 ,1097,31
Salomon XT-4 White Lunar Rock,Salomon,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/55974 ,4566,93
Adidas x Song for the Mute Shadowturf Core Black,Adidas,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/73879 ,1665,27
Asics x I4P Gel-1130 Mink Glacier Grey,Asics,"{'name': 'Woody Brown', 'RGB': (72, 49, 49)}",https://kream.co.kr/products/52237 ,9265,286
Nike Dunk Low Retro Championship Grey,Nike,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/39700 ,9673,418
Jordan 4 Retro Tour Yellow,Jordan,"{'name': 'Tiger Orange', 'RGB': (200, 129, 65)}",https://kream.co.kr/products/39110 ,2323,312
Nike Dunk Low Retro University Blue,Nike,"{'name': 'Dusty Blue', 'RGB': (90, 134, 173)}",https://kream.co.kr/products/33799 ,21000,934
Adidas Yeezy Boost 350 V2 Onyx,Adidas,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/65699 ,3227,66
Nike Dunk Low Retro Grey Fog,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/41193 ,32000,222
Adidas x Wales Bonner Country Mesa,Adidas,"{'name': 'Almond Frost', 'RGB': (144, 123, 113)}",https://kream.co.kr/products/65587 ,3648,13
Adidas x Wales Bonner Samba Cream Green,Adidas,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/64556 ,7149,38
Salomon XT-6 Rainy Day Vibrant Orange,Salomon,"{'name': 'Cascade', 'RGB': (139, 169, 165)}",https://kream.co.kr/products/78061 ,346,2
Jordan 11 Retro Low Concord Bred,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/20234 ,2635,239
Nike x Stussy Air Force 1 Low Triple Black,Nike,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/27277 ,8923,582
New Balance 990v3 Made in USA Marblehead Incense,New Balance,"{'name': 'Almond Frost', 'RGB': (144, 123, 113)}",https://kream.co.kr/products/59072 ,1355,44
Salomon XT-Wings 2 ADV Black,Salomon,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/27660 ,3534,17
(W) Jordan 1 Mid Barely Orange,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/25598 ,10000,196
Nike Air Zoom Alphafly Next% Flyknit Rawdacious,Nike,"{'name': 'Dawn Pink', 'RGB': (243, 233, 229)}",https://kream.co.kr/products/38711 ,935,13
Louis Vuitton LV Trainer Sneakers Monogram Denim Black,Louis Vuitton,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/53197 ,963,40
New Balance 990v1 Made in USA Navy,New Balance,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/72568 ,493,6
Saint Laurent Court Classic SL/06 Sneakers White Black,Saint Laurent,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/28208 ,195,4
Nike Dunk Low Retro Racer Blue and White,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/61048 ,15000,377
(W) Jordan 1 Elevate Low SE University Blue,Jordan,"{'name': 'Dawn Pink', 'RGB': (243, 233, 229)}",https://kream.co.kr/products/57341 ,12000,169
(GS) Nike Court Borough 2 SE White Pink Foam,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/71973 ,8577,23
Nike Air Max 97 Black White Anthracite,Nike,"{'name': 'Dark Blue Grey', 'RGB': (31, 59, 77)}",https://kream.co.kr/products/20837 ,928,40
(W) Nike Air Force 1 '07 White Black,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/59517 ,3490,22
(W) Jordan 1 Elevate Low SE White Onyx,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/52007 ,8402,162
Nike Air Force 1 '07 LV8 Varsity White Pine Green,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/49586 ,14000,57
Nike Air Force 1 '07 LV8 2 Have a Nike Day,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/54960 ,10000,106
Nike x Kasina Air Max 1 SP Won-Ang Orange,Nike,"{'name': 'Sorrell Brown', 'RGB': (206, 185, 143)}",https://kream.co.kr/products/62446 ,8667,781
