Name,Brand,Colors,Link,wish,review
Adidas Yeezy Boost 350 V2 Slate Core Black,Adidas,"[(166, 162, 146, 82), (33, 33, 33, 13)]",https://kream.co.kr/products/75687 ,5249,136
(W) Jordan 1 Low White Wolf Grey,Jordan,"[(216, 221, 223, 52), (151, 160, 164, 39)]",https://kream.co.kr/products/36237 ,66000,1024
Jordan 1 Low OG Starfish,Jordan,"[(227, 225, 225, 43), (176, 47, 35, 40), (41, 35, 35, 9)]",https://kream.co.kr/products/39518 ,24000,2405
Nike Air Force 1 '07 LV8 40th Anniversary Join Forces White Black,Nike,"[(196, 195, 200, 80), (40, 39, 42, 10)]",https://kream.co.kr/products/80145 ,5295,28
New Balance 530 White,New Balance,"[(210, 211, 211, 77), (49, 55, 57, 11)]",https://kream.co.kr/products/23928 ,33000,417
New Balance 990v1 Made in USA Grey White,New Balance,"[(120, 125, 134, 49), (214, 218, 223, 30), (32, 33, 35, 10), (69, 71, 78, 8)]",https://kream.co.kr/products/63212 ,5373,92
(W) Autry Medalist Low Leather Sneakers White,Autry,"[(218, 214, 203, 69), (204, 195, 161, 25)]",https://kream.co.kr/products/48208 ,14000,117
Nike x Stussy Air Force 1 '07 Mid SP Black and Light Bone,Nike,"[(31, 32, 33, 50), (205, 209, 212, 43)]",https://kream.co.kr/products/60294 ,32000,776
New Balance 530 Steel Grey,New Balance,"[(189, 186, 179, 81), (47, 49, 50, 8)]",https://kream.co.kr/products/28260 ,37000,650
Jordan 1 Low Golf Chicago,Jordan,"[(205, 202, 204, 46), (140, 21, 37, 32), (49, 23, 26, 16)]",https://kream.co.kr/products/48708 ,18000,628
Nike Dunk Low Retro PRM Halloween,Nike,"[(203, 196, 175, 42), (51, 49, 48, 35), (213, 111, 50, 10)]",https://kream.co.kr/products/43374 ,41000,1619
(GS) Nike Dunk Low Black,Nike,"[(38, 38, 38, 55), (208, 208, 207, 40)]",https://kream.co.kr/products/28229 ,31000,1647
(W) Nike Dunk Low Medium Olive,Nike,"[(84, 83, 65, 54), (207, 207, 208, 39)]",https://kream.co.kr/products/74974 ,16000,98
New Balance 992 Made in USA Grey - D Standard,New Balance,"[(154, 154, 150, 71), (223, 223, 223, 10), (39, 41, 41, 8)]",https://kream.co.kr/products/23523 ,41000,2732
Adidas Puppylette Off White,Adidas,"[(224, 219, 206, 77), (57, 55, 56, 11)]",https://kream.co.kr/products/81746 ,5042,25
Nike x Sacai x Fragment LDWaffle Light Smoke Grey,Nike,"[(188, 188, 186, 64), (230, 230, 230, 26)]",https://kream.co.kr/products/39449 ,23000,1108
Maison Margiela Calfskin Replica Sneakers,Maison Margiela,"[(222, 220, 215, 65), (132, 104, 73, 27)]",https://kream.co.kr/products/24909 ,6908,558
